what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1326023663093
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1326023663203
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1326023663203
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1326023663203
started,bundle,org.eclipse.wst.xml.core,1.1.505.v201109271810,"org.eclipse.wst.xml.core",1326023663203
started,bundle,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.adt",1326023663203
started,bundle,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms",1326023663281
started,bundle,com.android.ide.eclipse.traceview,15.0.1.v201111031820-219398,"com.android.ide.eclipse.traceview",1326023663281
os,sysinfo,,,"win32",1326023663296
arch,sysinfo,,,"x86",1326023663296
ws,sysinfo,,,"win32",1326023663296
locale,sysinfo,,,"es_ES",1326023663296
processors,sysinfo,,,"4",1326023663296
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1326023663296
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1326023663296
java.specification.name,sysinfo,,,"Java Platform API Specification",1326023663296
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326023663296
java.specification.version,sysinfo,,,"1.6",1326023663296
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1326023663296
java.version,sysinfo,,,"1.6.0_16",1326023663296
java.vm.info,sysinfo,,,"mixed mode",1326023663296
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1326023663296
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326023663296
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326023663296
java.vm.specification.version,sysinfo,,,"1.0",1326023663296
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1326023663296
java.vm.version,sysinfo,,,"14.2-b01",1326023663296
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1326023686109
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1326023686296
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1326023686625
